Metric,Timestamp,Value
Percentage CPU,2023-06-01 02:00:00+00:00,0.3
Percentage CPU,2023-06-01 02:01:00+00:00,0.3625
Percentage CPU,2023-06-01 02:02:00+00:00,0.325
Percentage CPU,2023-06-01 02:03:00+00:00,0.325
Percentage CPU,2023-06-01 02:04:00+00:00,0.305
Percentage CPU,2023-06-01 02:05:00+00:00,0.325
Percentage CPU,2023-06-01 02:06:00+00:00,0.3075
Percentage CPU,2023-06-01 02:07:00+00:00,0.29
Percentage CPU,2023-06-01 02:08:00+00:00,0.33
Percentage CPU,2023-06-01 02:09:00+00:00,0.3475
Percentage CPU,2023-06-01 02:10:00+00:00,0.3075
Percentage CPU,2023-06-01 02:11:00+00:00,0.2925
Percentage CPU,2023-06-01 02:12:00+00:00,0.325
Percentage CPU,2023-06-01 02:13:00+00:00,0.31
Percentage CPU,2023-06-01 02:14:00+00:00,0.3025
Percentage CPU,2023-06-01 02:15:00+00:00,0.295
Percentage CPU,2023-06-01 02:16:00+00:00,0.31
Percentage CPU,2023-06-01 02:17:00+00:00,0.2925
Percentage CPU,2023-06-01 02:18:00+00:00,0.3525
Percentage CPU,2023-06-01 02:19:00+00:00,0.305
Percentage CPU,2023-06-01 02:20:00+00:00,0.7175
Percentage CPU,2023-06-01 02:21:00+00:00,0.3025
Percentage CPU,2023-06-01 02:22:00+00:00,0.305
Percentage CPU,2023-06-01 02:23:00+00:00,0.3325
Percentage CPU,2023-06-01 02:24:00+00:00,0.375
Percentage CPU,2023-06-01 02:25:00+00:00,0.325
Percentage CPU,2023-06-01 02:26:00+00:00,0.3025
Percentage CPU,2023-06-01 02:27:00+00:00,0.295
Percentage CPU,2023-06-01 02:28:00+00:00,0.325
Percentage CPU,2023-06-01 02:29:00+00:00,0.3725
Percentage CPU,2023-06-01 02:30:00+00:00,0.7375
Percentage CPU,2023-06-01 02:31:00+00:00,0.2925
Percentage CPU,2023-06-01 02:32:00+00:00,0.3075
Percentage CPU,2023-06-01 02:33:00+00:00,0.455
Percentage CPU,2023-06-01 02:34:00+00:00,0.48
